일련번호,지역,업력,대출년도,대출금액(백만원),업종
787,경북,20년이상,2021,200,
788,경기,20년미만,2021,150,
789,강원,5년미만,2021,100,
790,경기,20년이상,2021,50,
791,경남,10년미만,2021,200,
792,인천,5년미만,2021,50,
793,경남,20년이상,2021,200,
794,전북,10년미만,2021,200,
795,광주,20년미만,2021,100,
796,대구,10년미만,2021,100,
797,경기,20년이상,2021,100,
798,광주,15년미만,2021,150,
799,대전,7년미만,2021,200,
800,경기,10년미만,2021,200,
801,경기,10년미만,2021,150,
802,경기,15년미만,2021,150,
803,경기,10년미만,2021,200,
804,경기,5년미만,2021,90,
805,충남,3년미만,2021,50,
806,경기,10년미만,2021,100,
807,경기,3년미만,2021,300,
808,인천,20년이상,2021,50,
809,경기,5년미만,2021,200,
810,서울,10년미만,2021,100,
811,서울,10년미만,2021,200,
812,경남,10년미만,2021,600,
813,대구,20년이상,2021,300,
814,경남,20년이상,2021,100,
815,경기,7년미만,2021,80,
816,울산,5년미만,2021,50,
817,광주,10년미만,2021,200,
818,충북,10년미만,2021,100,
819,경기,15년미만,2021,100,
820,경기,10년미만,2021,100,
821,경기,10년미만,2021,100,
822,경남,15년미만,2021,100,
823,경남,10년미만,2021,200,
824,울산,10년미만,2021,50,
825,경기,10년미만,2021,300,
826,경북,20년이상,2021,50,
827,대전,20년미만,2021,200,
828,인천,15년미만,2021,100,
829,부산,20년이상,2021,150,
830,경기,10년미만,2021,50,
831,경기,10년미만,2021,150,
832,부산,10년미만,2021,100,
833,부산,15년미만,2021,200,
834,전남,20년미만,2021,50,
835,경기,5년미만,2021,50,
836,인천,5년미만,2021,50,
837,인천,20년이상,2021,200,
838,경북,10년미만,2021,200,
839,경기,10년미만,2021,100,
840,서울,10년미만,2021,200,
841,서울,20년미만,2021,200,
842,서울,5년미만,2021,100,
843,서울,3년미만,2021,50,
844,경남,10년미만,2021,300,
845,서울,1년미만,2021,500,
846,경기,15년미만,2021,100,
847,경기,20년미만,2021,150,
848,경기,20년미만,2021,100,
849,충북,20년미만,2021,200,
850,경북,10년미만,2021,150,
851,경남,10년미만,2021,100,
852,경북,7년미만,2021,50,
853,충북,20년미만,2021,100,
854,충남,15년미만,2021,100,
855,부산,7년미만,2021,200,
856,충남,10년미만,2021,50,
857,부산,7년미만,2021,100,
858,서울,15년미만,2021,50,
859,부산,20년미만,2021,300,
860,부산,7년미만,2021,150,
861,대전,20년이상,2021,50,
862,부산,15년미만,2021,200,
863,부산,3년미만,2021,200,
864,경기,20년이상,2021,80,
865,경기,10년미만,2021,50,
